更新国际化文件地址: E:\Quicktcon\evo-amr\evo-rcs-web-dev\2.8.2\server-plugins\server-rcs-peripheral-plugin\config\locale\en-US.js: 
>>>>menu.device 的更新记录：Device Management  ---> Device Management 
>>>>rcsPeripheral.menu.peripheralList 的更新记录：Device List  ---> Device List 
>>>>rcsPeripheral.menu.autoPath 的更新记录：Automatic Path  ---> Automatic Path 
>>>>rcsPeripheral.menu.automatedPathEdit 的更新记录：Automation Path Edit  ---> Automation Path Edit 
>>>>rcsPeripheral.menu.autoDischargeCargo 的更新记录：Automatic Unloading Point  ---> Automatic Unloading Point 
>>>>rcsPeripheral.menu.interactiveDevice 的更新记录：Interactive Device Management  ---> Interactive Device Management 
>>>>rcsPeripheral.menu.interactiveDeviceAdd 的更新记录：Interactive Device Management Add  ---> Interactive Device Management Add 
>>>>rcsPeripheral.menu.interactiveDeviceEdit 的更新记录：Interactive Device Management Edit  ---> Interactive Device Management Edit 
>>>>rcsPeripheral.menu.interactiveDeviceView 的更新记录：Interactive Device Management View  ---> Interactive Device Management View 
>>>>rcsPeripheral.base.exportOperateAll 的更新记录：Export All  ---> Export All 
>>>>rcsPeripheral.base.exportOperate 的更新记录：Export  ---> Export 
>>>>rcsPeripheral.base.otherParams 的更新记录：Other Fields  ---> Other Fields 
>>>>rcsPeripheral.base.otherValue 的更新记录：Field Value  ---> Field Value 
>>>>rcsPeripheral.deviceList.exportOperateAll 的更新记录：Export All  ---> Export All 
>>>>rcsPeripheral.deviceList.exportOperate 的更新记录：Export  ---> Export 
>>>>rcsPeripheral.deviceList.onlineState 的更新记录：System State  ---> System State 
>>>>rcsPeripheral.deviceList.deviceBasicType 的更新记录：Device Type  ---> Device Type 
>>>>rcsPeripheral.deviceList.btn.import 的更新记录：Import  ---> Import 
>>>>rcsPeripheral.deviceList.btn.template 的更新记录：Download Import Template  ---> Download Import Template 
>>>>rcsPeripheral.deviceList.op 的更新记录：Operate  ---> Operate 
>>>>rcsPeripheral.deviceList.op.edit 的更新记录：Operate  ---> Operate 
>>>>rcsPeripheral.deviceList.id 的更新记录：Device ID  ---> Device ID 
>>>>rcsPeripheral.deviceList.warehouseId 的更新记录：Warehouse ID  ---> Warehouse ID 
>>>>rcsPeripheral.deviceList.warehouseCode 的更新记录：Warehouse Code  ---> Warehouse Code 
>>>>rcsPeripheral.deviceList.warehouseName 的更新记录：Warehouse Name  ---> Warehouse Name 
>>>>rcsPeripheral.deviceList.equipmentCode 的更新记录：Equipment Code  ---> Equipment Code 
>>>>rcsPeripheral.deviceList.equipmentClassification 的更新记录：Equipment Distinction  ---> Equipment Distinction 
>>>>rcsPeripheral.deviceList.equipmentName 的更新记录：Equipment Name  ---> Equipment Name 
>>>>rcsPeripheral.deviceList.enabled 的更新记录：Enabled Status  ---> Enabled Status 
>>>>rcsPeripheral.deviceList.outInWarehouseMode 的更新记录：In / Out Mode  ---> In / Out Mode 
>>>>rcsPeripheral.deviceList.carrierCapacity 的更新记录：Carrying Capacity  ---> Carrying Capacity 
>>>>rcsPeripheral.deviceList.skipCommand 的更新记录：Jump Instruction Set  ---> Jump Instruction Set 
>>>>rcsPeripheral.deviceList.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.deviceList.createdUser 的更新记录：User Created  ---> User Created 
>>>>rcsPeripheral.deviceList.createdApp 的更新记录：CreatedApp  ---> CreatedApp 
>>>>rcsPeripheral.deviceList.createdTime 的更新记录：CreatedTime  ---> CreatedTime 
>>>>rcsPeripheral.deviceList.lastUpdatedUser 的更新记录：LastUpdatedUser  ---> LastUpdatedUser 
>>>>rcsPeripheral.deviceList.lastUpdatedApp 的更新记录：LastUpdatedApp  ---> LastUpdatedApp 
>>>>rcsPeripheral.deviceList.lastUpdatedTime 的更新记录：LastUpdatedTime  ---> LastUpdatedTime 
>>>>rcsPeripheral.deviceEdit.title 的更新记录：Equipment Code  ---> Equipment Code 
>>>>rcsPeripheral.deviceEdit.id 的更新记录：Device ID  ---> Device ID 
>>>>rcsPeripheral.deviceEdit.warehouseId 的更新记录：Warehouse ID  ---> Warehouse ID 
>>>>rcsPeripheral.deviceEdit.equipmentCode 的更新记录：Equipment Code  ---> Equipment Code 
>>>>rcsPeripheral.deviceEdit.equipmentClassification 的更新记录：Equipment Distinction  ---> Equipment Distinction 
>>>>rcsPeripheral.deviceEdit.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.deviceEdit.enabled 的更新记录：Enabled Status  ---> Enabled Status 
>>>>rcsPeripheral.deviceEdit.outInWarehouseMode 的更新记录：In / Out Mode  ---> In / Out Mode 
>>>>rcsPeripheral.deviceEdit.carrierCapacity 的更新记录：Carrying Capacity  ---> Carrying Capacity 
>>>>rcsPeripheral.deviceEdit.back 的更新记录：Return  ---> Return 
>>>>rcsPeripheral.deviceEdit.submit 的更新记录：Submit  ---> Submit 
>>>>rcsPeripheral.automatedPath.exportOperateAll 的更新记录：Export All  ---> Export All 
>>>>rcsPeripheral.automatedPath.exportOperate 的更新记录：Export  ---> Export 
>>>>rcsPeripheral.automatedPath.onlineState 的更新记录：System State  ---> System State 
>>>>rcsPeripheral.automatedPath.id 的更新记录：ID  ---> ID 
>>>>rcsPeripheral.automatedPath.startPointCode 的更新记录：Starting Point Code  ---> Starting Point Code 
>>>>rcsPeripheral.automatedPath.endPointEquipmentCode 的更新记录：Terminal Equipment Code  ---> Terminal Equipment Code 
>>>>rcsPeripheral.automatedPath.automatedPathCode 的更新记录：Automatic Path Code  ---> Automatic Path Code 
>>>>rcsPeripheral.automatedPath.warehouseId 的更新记录：Warehouse ID  ---> Warehouse ID 
>>>>rcsPeripheral.automatedPath.warehouseCode 的更新记录：Warehouse Code  ---> Warehouse Code 
>>>>rcsPeripheral.automatedPath.warehouseName 的更新记录：Warehouse Name  ---> Warehouse Name 
>>>>rcsPeripheral.automatedPath.enabled 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.automatedPath.startWorkClassification 的更新记录：Start Job Differentiation  ---> Start Job Differentiation 
>>>>rcsPeripheral.automatedPath.startPointEquipmentId 的更新记录：Start Device Id  ---> Start Device Id 
>>>>rcsPeripheral.automatedPath.startPointEquipmentCode 的更新记录：Starting Equipment Code  ---> Starting Equipment Code 
>>>>rcsPeripheral.automatedPath.startPointCommand 的更新记录：Start Interactive Instruction Set  ---> Start Interactive Instruction Set 
>>>>rcsPeripheral.automatedPath.startPointRollbackMode 的更新记录：Start Rollback Mode  ---> Start Rollback Mode 
>>>>rcsPeripheral.automatedPath.endPointCode 的更新记录：End Point Code  ---> End Point Code 
>>>>rcsPeripheral.automatedPath.endWorkClassification 的更新记录：Terminal Job Differentiation  ---> Terminal Job Differentiation 
>>>>rcsPeripheral.automatedPath.endPointEquipmentId 的更新记录：End Device ID  ---> End Device ID 
>>>>rcsPeripheral.automatedPath.endPointCommand 的更新记录：Terminal Interaction Instruction Set  ---> Terminal Interaction Instruction Set 
>>>>rcsPeripheral.automatedPath.endPointRollbackMode 的更新记录：End Rollback Mode  ---> End Rollback Mode 
>>>>rcsPeripheral.automatedPath.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.automatedPath.op 的更新记录：Operate  ---> Operate 
>>>>rcsPeripheral.automatedPath.op.delete 的更新记录：Delete  ---> Delete 
>>>>rcsPeripheral.automatedPath.op.edit 的更新记录：Edit  ---> Edit 
>>>>rcsPeripheral.autoDischargeCargo.exportOperateAll 的更新记录：Export All  ---> Export All 
>>>>rcsPeripheral.autoDischargeCargo.exportOperate 的更新记录：Export  ---> Export 
>>>>rcsPeripheral.autoDischargeCargo.onlineState 的更新记录：System State  ---> System State 
>>>>rcsPeripheral.autoDischargeCargo.pathId 的更新记录：ID  ---> ID 
>>>>rcsPeripheral.autoDischargeCargo.equipmentCode 的更新记录：Target Equipment Code  ---> Target Equipment Code 
>>>>rcsPeripheral.autoDischargeCargo.pointCode 的更新记录：Point Code  ---> Point Code 
>>>>rcsPeripheral.autoDischargeCargo.agvPointCode 的更新记录：Robot Direct Entry Point Code  ---> Robot Direct Entry Point Code 
>>>>rcsPeripheral.autoDischargeCargo.warehouseId 的更新记录：Warehouse ID  ---> Warehouse ID 
>>>>rcsPeripheral.autoDischargeCargo.warehouseCode 的更新记录：Warehouse Code  ---> Warehouse Code 
>>>>rcsPeripheral.autoDischargeCargo.warehouseName 的更新记录：Warehouse Name  ---> Warehouse Name 
>>>>rcsPeripheral.autoDischargeCargo.equipmentId 的更新记录：Target Device Id  ---> Target Device Id 
>>>>rcsPeripheral.autoDischargeCargo.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.automatedPathEdit.title 的更新记录：Edit  ---> Edit 
>>>>rcsPeripheral.automatedPathEdit.op 的更新记录：Operate  ---> Operate 
>>>>rcsPeripheral.automatedPathEdit.op.edit 的更新记录：Edit  ---> Edit 
>>>>rcsPeripheral.automatedPathEdit.op.delete 的更新记录：Delete  ---> Delete 
>>>>rcsPeripheral.automatedPathEdit.back 的更新记录：Return  ---> Return 
>>>>rcsPeripheral.automatedPathEdit.submit 的更新记录：Submit  ---> Submit 
>>>>rcsPeripheral.automatedPathEdit.id 的更新记录：ID  ---> ID 
>>>>rcsPeripheral.automatedPathEdit.automatedPathCode 的更新记录：Automatic Path Code  ---> Automatic Path Code 
>>>>rcsPeripheral.automatedPathEdit.warehouseId 的更新记录：Warehouse ID  ---> Warehouse ID 
>>>>rcsPeripheral.automatedPathEdit.warehouseCode 的更新记录：Warehouse Code  ---> Warehouse Code 
