更新国际化文件地址: E:\Quicktcon\evo-amr\evo-rcs-web-dev\2.8.2\server-plugins\server-map-editor-plugin\config\locale\en-US.js: 
>>>>mapEditor.menu 的更新记录：Map Editor  ---> Map Editor 
>>>>mapEditor.common.compilationSavedSuccessfully 的更新记录：Compilation saved successfully!  ---> Compilation saved successfully! 
>>>>mapEditor.common.problemWithFileFormat 的更新记录：There is a problem with the file format. Convert it to UTF-8 format and try again!  ---> There is a problem with the file format. Convert it to UTF-8 format and try again! 
>>>>mapEditor.common.mapDataCheckResults 的更新记录：********[Map data check results]********  ---> ********[Map data check results]******** 
>>>>mapEditor.common.mapConnectivityCheckResults 的更新记录：********【Map connectivity check results】********  ---> ********【Map connectivity check results】******** 
>>>>mapEditor.common.mapPublishedSuccessfully 的更新记录：Map published successfully  ---> Map published successfully 
>>>>mapEditor.common.mapPublishedOnlineSuccessfully 的更新记录：Map published online successfully  ---> Map published online successfully 
>>>>mapEditor.common.RCSnotificationFailed 的更新记录：RCS notification map launch request failed  ---> RCS notification map launch request failed 
>>>>mapEditor.common.RCSrefreshFailed 的更新记录：Map online successfully, RCS refresh request failed  ---> Map online successfully, RCS refresh request failed 
>>>>mapEditor.common.RCSnotificationsuccessful 的更新记录：RCS notification map launch request success  ---> RCS notification map launch request success 
>>>>mapEditor.common.RCSrefreshsuccessful 的更新记录：Map online successfully, RCS refresh request  successful  ---> Map online successfully, RCS refresh request  successful 
>>>>mapEditor.common.WCSnotificationFailed 的更新记录：WCS notification map launch request failed  ---> WCS notification map launch request failed 
>>>>mapEditor.common.WCSrefreshFailed 的更新记录：Map online successfully, WCS refresh request failed  ---> Map online successfully, WCS refresh request failed 
>>>>mapEditor.common.WCSnotificationsuccessful 的更新记录：WCS notification map launch request success  ---> WCS notification map launch request success 
>>>>mapEditor.common.WCSrefreshsuccessful 的更新记录：Map online successfully, WCS refresh request  successful  ---> Map online successfully, WCS refresh request  successful 
>>>>mapEditor.common.mapPublishedOnlineFailed 的更新记录：Failed To Publish New Map Online  ---> Failed To Publish New Map Online 
>>>>mapEditor.mapEditor.exportedExcelName 的更新记录：Imported_codePoint_template  ---> Imported_codePoint_template 
>>>>mapEditor.mapEditor.mustBeInteger 的更新记录：Must be an integer  ---> Must be an integer 
>>>>mapEditor.mapEditor.title 的更新记录：Basic  ---> Basic 
>>>>mapEditor.mapEditor.rule.no 的更新记录：Rule Number  ---> Rule Number 
>>>>mapEditor.mapEditor.description 的更新记录：Description  ---> Description 
>>>>mapEditor.mapEditor.status 的更新记录：Status Of Use  ---> Status Of Use 
>>>>mapEditor.mapEditor.updatedAt 的更新记录：Update Time  ---> Update Time 
>>>>mapEditor.mapEditor.op 的更新记录：Operate  ---> Operate 
>>>>mapEditor.mapEditor.op.edit 的更新记录：Modify  ---> Modify 
>>>>mapEditor.mapEditor.op.del 的更新记录：Delete  ---> Delete 
>>>>mapEditor.mapEditor.op.download 的更新记录：Download  ---> Download 
>>>>mapEditor.mapEditor.status.close 的更新记录：Close  ---> Close 
>>>>mapEditor.mapEditor.status.running 的更新记录：Running  ---> Running 
>>>>mapEditor.mapEditor.status.online 的更新记录：Online  ---> Online 
>>>>mapEditor.mapEditor.status.ex 的更新记录：Error  ---> Error 
>>>>mapEditor.mapEditor.callNo 的更新记录：Service Called Count  ---> Service Called Count 
>>>>mapEditor.mapEditor.btn.download 的更新记录：Download  ---> Download 
>>>>mapEditor.mapEditor.btn.go 的更新记录：Link To  ---> Link To 
>>>>mapEditor.mapEditor.new 的更新记录：New  ---> Add 
>>>>mapEditor.mapEditor.new.content 的更新记录：New。。。。
*Another Line  ---> New。。。。
*Another Line 
>>>>mapEditor.mapEditor.mock.desc 的更新记录：This is a description.  ---> This is a description. 
>>>>mapEditor.mapEditor.customCodePoint 的更新记录：Custom Code Point  ---> Custom Code Point 
>>>>mapEditor.mapEditor.movePoint 的更新记录：Move Point  ---> Drag Point 
>>>>mapEditor.mapEditor.coordinateX 的更新记录：Coordinate X  ---> Coordinate X 
>>>>mapEditor.mapEditor.coordinateY 的更新记录：Coordinate Y  ---> Coordinate Y 
>>>>mapEditor.mapEditor.xOffset 的更新记录：X Offset  ---> Delta X 
>>>>mapEditor.mapEditor.yOffset 的更新记录：Y Offset  ---> Delta Y 
>>>>mapEditor.mapEditor.codePointEncoding 的更新记录：Point Encoding  ---> Point Encoding 
>>>>mapEditor.mapEditor.codePointName 的更新记录：Code Point Name  ---> Code Point Name 
>>>>mapEditor.mapEditor.codePointType 的更新记录：Code Point Type  ---> Code Point Type 
>>>>mapEditor.mapEditor.codeValue 的更新记录：Qr Code  ---> Qr Code 
>>>>mapEditor.mapEditor.zoneCode 的更新记录：Zone Code  ---> Zone Code 
>>>>mapEditor.mapEditor.ml4 的更新记录：MaximumLength 4  ---> MaximumLength 4 
>>>>mapEditor.mapEditor.workstationCode 的更新记录：Workstation Code  ---> Workstation Code 
>>>>mapEditor.mapEditor.chargingStationCode 的更新记录：Charging Station Code  ---> Charging Station Code 
>>>>mapEditor.mapEditor.chargerType 的更新记录：Charging Station Type  ---> Charging Station Type 
>>>>mapEditor.mapEditor.chargerPortType 的更新记录：Charging Port Type  ---> Charging Port Type 
>>>>mapEditor.mapEditor.automaticChargingStation 的更新记录：Automatic Charging Station  ---> Automatic Charging Station 
>>>>mapEditor.mapEditor.batteryReplacementStation 的更新记录：Battery Replacement Station  ---> Battery Replacement Station 
>>>>mapEditor.mapEditor.workstationMode 的更新记录：Workstation Mode  ---> Workstation Mode 
>>>>mapEditor.mapEditor.workstationOrientation 的更新记录：Workstation Orientation  ---> Workstation Orientation 
>>>>mapEditor.mapEditor.chargePointOrientation 的更新记录：Charger Pile Orientation  ---> Charger Pile Orientation 
>>>>mapEditor.mapEditor.commutationPoint 的更新记录：Commutation Point  ---> Commutation Point 
>>>>mapEditor.mapEditor.waitingPoint 的更新记录：Waiting point  ---> Waiting Point 
>>>>mapEditor.mapEditor.robotReversing 的更新记录：Robot Reversing  ---> Robot Rotatable 
>>>>mapEditor.mapEditor.channelType 的更新记录：Channel Type  ---> Channel Type 
>>>>mapEditor.mapEditor.channelNumber 的更新记录：Channel Number  ---> Channel Number 
>>>>mapEditor.mapEditor.channelPointFlag 的更新记录：Avoidance Point  ---> Avoidance Point 
>>>>mapEditor.mapEditor.SelectYes 的更新记录：Yes  ---> Yes 
>>>>mapEditor.mapEditor.SelectNo 的更新记录：No  ---> No 
>>>>mapEditor.mapEditor.singleChannel 的更新记录：Single Channel Point  ---> Single Channel Point 
>>>>mapEditor.mapEditor.singleAvoidChannel 的更新记录：Single Channel Avoidance Point  ---> Single Channel Avoidance Point 
>>>>mapEditor.mapEditor.scanRange 的更新记录：Scan Range  ---> Scan Range 
>>>>mapEditor.mapEditor.agvDirection 的更新记录：Robot Direction  ---> Robot Direction 
>>>>mapEditor.mapEditor.shelfDirection 的更新记录：Rack direction  ---> Rack Direction 
>>>>mapEditor.mapEditor.slamMapCode 的更新记录：SLAM Map Code  ---> Slam Map Code 
>>>>mapEditor.mapEditor.standbyParameter01 的更新记录：Standby parameter 01  ---> Standby parameter 01 
>>>>mapEditor.mapEditor.standbyParameter02 的更新记录：Standby parameter 02  ---> Standby parameter 02 
>>>>mapEditor.mapEditor.standbyParameter03 的更新记录：Standby parameter 03  ---> Standby parameter 03 
>>>>mapEditor.mapEditor.startPointGuidanceMode 的更新记录：Startpointguidancemode  ---> Start Point Guidance Mode 
>>>>mapEditor.mapEditor.endPointGuidanceMode 的更新记录：End Point Guidance Mode  ---> End Point Guidance Mode 
>>>>mapEditor.mapEditor.pointGuidanceMode_null 的更新记录：Empty  ---> Empty 
>>>>mapEditor.mapEditor.pointGuidanceMode_reflector 的更新记录：ReflectLight  ---> ReflectLight 
>>>>mapEditor.mapEditor.pointGuidanceMode_vision 的更新记录：Vision  ---> Visual Sense 
>>>>mapEditor.mapEditor.pointGuidanceMode_shelfLeg 的更新记录：shelfLeg  ---> Rackleg 
>>>>mapEditor.mapEditor.reflectorInternalSpacing 的更新记录：Reflector Internal Spacing  ---> Reflector Internal Spacing 
>>>>mapEditor.mapEditor.reflectorDistance 的更新记录：Reflector Distance  ---> Reflector Distance 
>>>>mapEditor.mapEditor.barCodeHeight 的更新记录：BarCodeHeight  ---> QR Code Height 
>>>>mapEditor.mapEditor.barCodeWidth 的更新记录：BarCodeWidth  ---> QR Code Width 
>>>>mapEditor.mapEditor.obstacleCode 的更新记录：Obstacle Code  ---> Obstacle Code 
>>>>mapEditor.mapEditor.displayType 的更新记录：Display Type  ---> Display Type 
>>>>mapEditor.mapEditor.xTotalLength 的更新记录：Total length in X direction  ---> Length of X axis 
>>>>mapEditor.mapEditor.yTotalLength 的更新记录：Total length in Y direction  ---> Length Of Y Axis 
>>>>mapEditor.mapEditor.addEdgeData 的更新记录：Add Edge Data  ---> Add Edge Data 
>>>>mapEditor.mapEditor.property 的更新记录：Property  ---> Attribute 
>>>>mapEditor.mapEditor.value 的更新记录：Value  ---> Value 
>>>>mapEditor.mapEditor.editMap 的更新记录：Edit Map  ---> Edit Map 
>>>>mapEditor.mapEditor.warehouseCode 的更新记录：Warehouse Code  ---> Warehouse Code 
>>>>mapEditor.mapEditor.noSpacesAllowed 的更新记录：No spaces allowed  ---> No spaces allowed 
>>>>mapEditor.mapEditor.zeroNoAllowed 的更新记录：Must be a number and cannot be zero  ---> Must be a number and cannot be zero 
>>>>mapEditor.mapEditor.mapCode 的更新记录：Map Code  ---> Map Code 
>>>>mapEditor.mapEditor.ml20 的更新记录：MaximumLength 20  ---> MaximumLength 20 
>>>>mapEditor.mapEditor.mapName 的更新记录：Map Name  ---> Map Name 
>>>>mapEditor.mapEditor.mapVersion 的更新记录：Map Version  ---> Map Version 
>>>>mapEditor.mapEditor.mapLength 的更新记录：Map Length(mm)  ---> Map Length(mm) 
>>>>mapEditor.mapEditor.mapWidth 的更新记录：Map Width(mm)  ---> Map Width(mm) 
>>>>mapEditor.mapEditor.xAxisSpacing 的更新记录：X Axis Spacing(mm)  ---> X Axis Spacing(mm) 
>>>>mapEditor.mapEditor.yAxisSpacing 的更新记录：Y Axis Spacing(mm)  ---> Y Axis Spacing(mm) 
>>>>mapEditor.mapEditor.newFile 的更新记录：New(N)  ---> New(N) 
>>>>mapEditor.mapEditor.open 的更新记录：Open(O)  ---> Open(O) 
>>>>mapEditor.mapEditor.update 的更新记录：Publish(U)  ---> Publish(U) 
>>>>mapEditor.mapEditor.download 的更新记录：Download(D)  ---> Download(D) 
>>>>mapEditor.mapEditor.downloadTemplate 的更新记录：Download CodePoint Template(T)  ---> Download CodePoint Template(T) 
